Date,Open,High,Low,Close,Change,Change%,Volume('000 shares)
2012/4/30,86.3,87.4,85.7,86.8,0.8,0.93,47647.085
2012/5/2,87,88.9,86.8,88.4,1.6,1.84,48249.908
2012/5/3,88.4,89,87.9,88.9,0.5,0.57,27728.263
2012/5/4,86.7,88,86.7,87.6,-1.3,-1.46,37719.753
2012/5/7,86.5,86.5,85,85.6,-2,-2.28,47917.069
2012/5/8,86,86,84.4,84.4,-1.2,-1.4,45836.39
2012/5/9,83.9,85.2,83.5,84.6,0.2,0.24,41263.531
2012/5/10,85,85.7,84.3,85.3,0.7,0.83,28688.623
2012/5/11,85.7,85.7,84.5,85.5,0.2,0.23,33627.25
2012/5/14,84.8,85.5,84.8,85.4,-0.1,-0.12,14135.562
2012/5/15,85.4,85.7,84.1,85.5,0.1,0.12,30739.719
2012/5/16,84.2,84.5,83.4,83.4,-2.1,-2.46,65470.478
2012/5/17,84.8,85.1,84.1,85.1,1.7,2.04,33657.888
2012/5/18,83.9,83.9,81.8,81.8,-3.3,-3.88,57620.539
2012/5/21,81,82.8,81,82.5,0.7,0.86,32414.856
2012/5/22,82.7,82.9,82.2,82.2,-0.3,-0.36,33977.797
2012/5/23,81,81.2,79,79.1,-3.1,-3.77,63269.956
2012/5/24,78.9,80.6,78.1,80.6,1.5,1.9,40984.054
2012/5/25,79.8,80.5,79.2,80,-0.6,-0.74,28279.141
2012/5/28,80,81.7,79.8,81.6,1.6,2,30137.23
2012/5/29,82.5,83.2,82,82.3,0.7,0.86,41171.871
2012/5/30,81.6,82,80.3,81.7,-0.6,-0.73,75751.835
2012/5/31,80.5,85.1,79.7,85.1,3.4,4.16,89332.423
2012/6/1,81.7,81.7,79.9,79.9,-5.2,-6.11,66924.957
2012/6/4,76.5,77.1,76.1,76.5,-3.4,-4.26,66008.677
2012/6/5,77.5,78.2,77.2,78.2,1.7,2.22,37616.524
2012/6/6,78.2,78.6,77.5,77.8,-0.4,-0.51,33715.255
2012/6/7,79.4,79.8,78.6,79.8,2,2.57,47699.974
2012/6/8,77,78.7,77,77.9,-1.9,-2.38,35987.916
2012/6/11,79.9,80.5,79.6,80.4,2.5,3.21,40596.219
2012/6/12,78.5,79.8,78.5,79.4,-1,-1.24,38319
2012/6/13,80.8,80.8,79.5,80,0.6,0.76,32284.438
2012/6/14,80,80.2,79.1,79.2,-0.8,-1,31161.642
2012/6/15,79.2,79.5,78.1,78.1,-1.1,-1.39,89900.246
2012/6/18,80,81,80,80.8,2.7,3.46,33737.589
2012/6/19,80.9,80.9,80,80.5,-0.3,-0.37,28910.805
2012/6/20,81.3,81.6,80.5,81.6,1.1,1.37,35326.1
2012/6/21,80.5,81,80.3,80.6,-1,-1.23,27063.632
2012/6/22,80,81,79.9,80.1,-0.5,-0.62,31117.704
2012/6/25,80.8,80.8,79.1,79.6,-0.5,-0.62,40786.634
2012/6/26,79,79.1,78.3,78.7,-0.9,-1.13,42391.395
2012/6/27,78.3,79.5,78.2,79.3,0.6,0.76,32770.862
2012/6/28,80,80.3,79.5,79.9,0.6,0.76,33113.977
2012/6/29,79.6,81.3,79.3,81.3,1.4,1.75,50919.122
2012/7/2,81.5,83.7,81.5,83.3,2,2.46,64377.033
2012/7/3,83.6,84.9,83.4,84.2,0.9,1.08,60850.415
2012/7/4,82.1,82.1,81.2,81.2,-3,-3.56,44220.683
2012/7/5,82,82,80.7,81,-0.2,-0.25,28556.444
2012/7/6,81,81,80.1,80.9,-0.1,-0.12,38187.671
2012/7/9,79.9,80.3,79.6,80,-0.9,-1.11,45060.759
2012/7/10,79.4,79.9,78.6,79.1,-0.9,-1.13,37141.829
2012/7/11,78.1,78.3,77.4,78.1,-1,-1.26,59419.785
